city,profession,salary,company
北京,Ruby,15,易美健
北京,Ruby/Rails技术经理,25,立返利
北京,ruby后端开发,15,凡影科技
北京,Ruby,25,昊恒天
北京,Ruby高级开发工程师,12,同心医联
北京,Ruby,15,同心医联
北京,高级Ruby工程师,13,万维星辰
北京,Ruby工程师,13,万维星辰
北京,Ruby服务器开发工程师,15,盖娅互娱
北京,ruby工程师,13,万维星辰
北京,Ruby on Rails工程师,17,亿生生科技
北京,Ruby on Rails工程师,15,浮士达
北京,RUBY后端开发,15,凡影科技
北京,RUby开发工程师,15,众签
北京,ruby工程师,12,阳光公采
北京,Ruby/Rails全栈工程师,15,立返利
北京,Ruby工程师,13,万维星辰
北京,高级Ruby工程师,18,无二之旅
北京,Ruby开发高级工程师 / 研发主管,20,sketchup吧
北京,Ruby高级工程师,20,老柚
北京,Ruby开发工程师,12,掌玩科技
北京,Ruby on Rails工程师,15,浮士达
北京,ruby开发工程师,15,同心医联
北京,Ruby on Rails工程师,15,超级简历
北京,Ruby开发工程师,15,10lab
北京,高级Ruby开发工程师,25,昊恒天
北京,Ruby,10,资利
北京,Ruby,15,凡影科技
北京,Ruby开发工程师,15,易美健
北京,ruby racket,10,舞水软件科技
北京,Ruby 后端工程师,15,凡影科技
北京,Ruby 工程师,25,超级简历
北京,系统架构师（Ruby）,20,浮士达
北京,Ruby高级开发工程师,20,立返利
北京,Ruby技术经理,25,立返利
北京,Ruby,11,石云科技
北京,Ruby工程师,10,逍遥津
北京,ruby工程师,15,金石约
北京,Ruby研发工程师,10,汉蓝
北京,ruby研发工程师,15,休伦科技
北京,Ruby开发工程师,15,小葵智建
北京,高级ruby开发工程师,20,经舆典
北京,ruby实习生,5,小葵智建
北京,Ruby开发工程师,8,美区科技
北京,Ruby on Rails 工程师,18,浮士达
北京,Ruby初级开发工程师,7,易美健
北京,后端开发工程师（中级，Ruby）,13,易美健
北京,网站开发 Ruby,13,创投圈 vc.cn
北京,Ruby开发工程师,27,九章研究所
北京,RUBY开发工程师,10,巨丰金控
北京,Ruby 工程师,15,北京节点数聚网络科技
北京,Ruby rails开发工程师,20,富熊
北京,Ruby,12,aitestin
北京,Ruby,20,正芒科技
北京,Ruby高级工程师,15,aitestin
北京,Ruby,10,粉雪科技
北京,Ruby,6,万数科技
北京,Ruby研发经理,15,汉蓝
北京,Ruby研发工程师,10,汉蓝
北京,Ruby工程师,15,linkface
北京,Ruby,15,老柚
北京,Ruby工程师,10,采云科技
北京,Ruby,30,北京智硬科技有限公司
北京,Ruby高级开发工程师,15,艾索健康科技
北京,Ruby,15,智云达科技
北京,Ruby软件开发工程师,8,睿智思科科技
北京,高级服务端开发JAVA&RUBY,28,乐谜互动
北京,Ruby高级工程师,15,经舆典
北京,Ruby,15,huantengsmart
上海,Ruby,15,energypan
上海,高级Ruby工程师,15,上海薄荷
上海,Ruby,8,趣住啊
上海,ruby后端开发,18,上海合衣盒创意设...
上海,Ruby开发工程师,25,爱回收
上海,Ruby 工程师,12,火云科技
上海,资深ruby工程师,20,爱回收
上海,Ruby工程师,16,世外智慧
上海,高级Ruby开发工程师,15,朝夕网络
上海,Ruby开发工程师,25,盛安德
上海,Ruby/Go开发实习生,4,简书
上海,Ruby/Rails 开发工程师,11,我行我数
上海,高级Ruby开发工程师,15,云深网络
上海,Ruby/rails,10,溪集(上海)信息...
上海,Ruby开发工程师,9,云深网络
上海,资深Ruby On Rails 开发工程师,22,点点橙
上海,Ruby on Rails开发工程师,15,法锐网络科技
上海,资深Ruby on Rails开发工程师,20,法锐网络科技
上海,RUBY开发工程师,15,贝棱斯
上海,Ruby Engineer,13,sap labs
上海,资深Ruby开发工程师,25,点点橙
上海,Ruby On Rails 开发工程师,12,点点橙
上海,Ruby开发工程师,11,云艮科技
上海,资深ruby开发工程师,15,爱回收
上海,Ruby,15,迈科技metalab
上海,Ruby程序员,5,上海念露
上海,高级Ruby开发(Ruby on rails),15,自协软件
上海,Ruby后端工程师,15,yy金融
上海,Ruby开发工程师,20,yy金融
上海,Ruby开发工程师,10,飞诊
上海,Ruby/Crystal/K8s工程师,9,火云科技
上海,Ruby工程师,10,微客来
上海,Ruby高级开发工程师,15,上海薄荷
上海,Ruby开发工程师,15,spareleash
上海,Ruby,8,kembo
上海,Ruby,15,mustlisten
上海,ruby工程师,15,辣之椒科技
上海,高级 Ruby 工程师/架构师,15,爱客crm
上海,Ruby,15,一有投资
上海,ruby工程师,13,世外智慧
上海,中级Ruby工程师,10,爱客crm
上海,【校招】Ruby开发工程师,5,一有投资
上海,Ruby,8,辣之椒科技
上海,Ruby On Rails工程师,15,爱客crm
上海,Ruby实习生,3,一有投资
上海,Ruby,10,爱客crm
上海,初级Ruby开发工程师,8,辣之椒科技
上海,Ruby软件开发,10,赤猬科技
上海,Ruby on Rails开发工程师,20,法锐网络科技
上海,Ruby/Rails/全栈工程师,15,pipi
上海,高级Ruby开发工程师,10,易界网
上海,Ruby on Rails软件工程师,15,久翌网络
广州,RUBY工程师,8,xbed
广州,Ruby开发工程师,8,rcc
广州,Ruby全栈开发工程师,6,机智科技
广州,PHP/Ruby开发工程师,4,机智科技
广州,Ruby 后端开发,7,悦逛
广州,后端开发-Ruby on Rails,6,悦逛
广州,Ruby On Rails开发工程师,7,广州诺特软件开发...
深圳,Ruby软件开发工程师,13,中原地产
深圳,Ruby开发工程师,15,metanotitia lnc
深圳,Ruby后端开发工程师,15,互联金服
深圳,Ruby,10,国城科技
深圳,Ruby开发工程师,15,互联金服
深圳,Ruby开发工程师,18,店匠科技
深圳,中级Ruby开发工程师,10,开源中国
深圳,高级Ruby开发工程师,16,开源中国
深圳,Ruby on Rails 全栈工程师,8,至简天成
深圳,Ruby on Rails 高级全栈工程师,15,至简天成
深圳,Ruby高级开发工程师,15,开源中国
深圳,Ruby on Rails高级全栈工程师,15,百分之八十
深圳,Ruby,11,企服宝
深圳,Ruby开发工程师,13,过家家装修网
深圳,Ruby Rails软件工程师,20,华为
深圳,Ruby 高级开发工程师,20,华为
深圳,Ruby 工程师,25,大疆创新
深圳,Ruby,16,量链
深圳,Ruby 全栈工程师,15,跨境帮
深圳,Ruby软件开发工程师,8,一知智能
深圳,Ruby/Rials 开发工程师,6,ahaa啊哈娱乐科技
深圳,Ruby开发工程师,15,脚印数据
深圳,ruby,9,南昌耀骅
深圳,Ruby 资深开发工程师,8,行书通讯
杭州,ruby开发工程师,15,浙江公众信息
杭州,Ruby,10,中电博亚
杭州,Ruby开发工程师,15,有数派
杭州,高级Ruby工程师（YY金融）,15,yy金融
杭州,Ruby开发,10,哈希网络
杭州,ruby工程师,8,有渔
杭州,Ruby/Rails高级工程师,10,聚源金融
杭州,Ruby/Rails 初级工程师,5,聚源金融
杭州,ruby,4,浙江北鼎网络
杭州,PHP转Ruby工程师,5,浙江北鼎网络
杭州,Ruby开发工程师,15,yy金融
西安,Ruby On Rails Engineer,12,活跃网络
西安,Senior Ruby On Rails Engineer,15,活跃网络
西安,ruby工程师,10,天琅电子
西安,Ruby on Rails 全栈工程师,7,超原力
苏州,Ruby开发工程师,20,盛安德
武汉,Ruby,9,得鹿网络
武汉,开发工程师（Java ，C#，Python ，Ruby）,12,thoughtworks
武汉,Ruby开发工程师,10,武汉掌中宝
武汉,ruby开发,8,mst
武汉,Ruby开发工程师,10,thoughtworks
厦门,Ruby后端工程师,12,聚北科技
长沙,Ruby实习岗位,4,聚微合智
长沙,Ruby开发或实习工程师,10,长沙智擎信息技术...
长沙,Ruby,8,六星教育
成都,Ruby on rails 工程师,15,爱齐(上海)商贸有限公司
成都,Ruby开发工程师,8,折800
成都,Ruby on Rails 工程师,12,探码科技
成都,Ruby研发,11,澳昇
成都,Ruby工程师-成都,10,阳光公采
成都,服务端开发工程师（Ruby）,14,中邮智递科技有限公司
成都,Ruby工程师,11,strikingly
成都,ruby开发工程师,8,折800
成都,Ruby开发工程师,12,浮游智旅
郑州,Ruby,6,万国商汇网络科技
